iter	Logloss
0	0.4494477327
1	0.3610136743
2	0.3191220373
3	0.2976507567
4	0.2858023509
5	0.2781359418
6	0.2733954588
7	0.2706738416
8	0.2687904831
9	0.267725724
10	0.2668213508
11	0.2664240415
12	0.2661556255
13	0.2659524965
14	0.2655934648
15	0.2653467387
16	0.2652495003
17	0.2651669944
18	0.2650129593
19	0.2648851157
20	0.2647098726
21	0.2646233704
22	0.2645754064
23	0.2645259921
24	0.2644111979
25	0.2642328597
26	0.2641796011
27	0.2640575727
28	0.2639853712
29	0.263940085
30	0.2638343633
31	0.2637914795
32	0.2636746883
33	0.263600335
34	0.2635470191
35	0.2634437526
36	0.2633992204
37	0.2632999549
38	0.263228163
39	0.2631348123
40	0.2630488898
41	0.2630093601
42	0.2629434836
43	0.2628551273
44	0.2628022218
45	0.2627507955
46	0.2626858191
47	0.262653144
48	0.2626235737
49	0.2626067471
50	0.2625230814
51	0.2624708233
52	0.2624075053
53	0.2623660347
54	0.2623273199
55	0.2623096571
56	0.2622589844
57	0.2622145968
58	0.2621116877
59	0.2620906951
60	0.2620415134
61	0.2619911628
62	0.2619359257
63	0.2618774718
64	0.2618423412
65	0.2617920142
66	0.2617536567
67	0.2617135209
68	0.2616621143
69	0.2615953754
70	0.2615858546
71	0.2615545977
72	0.2614952232
73	0.2614641134
74	0.2614309672
75	0.2614066406
76	0.2613536618
77	0.2613344701
78	0.2613127918
79	0.2612615389
80	0.261243582
81	0.2611825422
82	0.2611467068
83	0.2611204198
84	0.2610851221
85	0.261036766
86	0.260996847
87	0.2609734162
88	0.2609429848
89	0.2608962737
90	0.2608702214
91	0.2608484731
92	0.2608282558
93	0.2608261487
94	0.260807798
95	0.2608027013
96	0.2607575688
97	0.2607116127
98	0.2606823066
99	0.2606569904
