iter	Passed	Remaining
0	271	26881
1	355	17418
2	452	14635
3	547	13143
4	784	14909
5	1035	16219
6	1107	14716
7	1196	13762
8	1296	13108
9	1357	12221
10	1440	11651
11	1543	11321
12	1612	10790
13	1676	10295
14	1755	9948
15	1865	9791
16	1928	9413
17	1992	9077
18	2058	8775
19	2154	8619
20	2340	8805
21	2522	8943
22	2652	8878
23	2803	8879
24	2983	8951
25	3153	8976
26	3257	8806
27	3327	8556
28	3412	8355
29	3556	8298
30	3654	8133
31	3729	7925
32	3836	7789
33	3949	7667
34	4048	7519
35	4148	7375
36	4235	7212
37	4410	7195
38	4493	7028
39	4577	6865
40	4655	6699
41	4723	6522
42	4792	6353
43	4856	6181
44	4923	6017
45	4976	5842
46	5033	5675
47	5120	5547
48	5307	5523
49	5418	5418
50	5533	5316
51	5594	5164
52	5671	5029
53	5750	4898
54	5812	4755
55	5877	4617
56	5974	4506
57	6111	4425
58	6223	4324
59	6293	4195
60	6356	4064
61	6433	3943
62	6524	3831
63	6591	3707
64	6647	3579
65	6722	3463
66	6799	3349
67	6858	3227
68	6913	3106
69	7000	3000
70	7058	2883
71	7119	2768
72	7173	2653
73	7247	2546
74	7313	2437
75	7378	2330
76	7435	2221
77	7496	2114
78	7642	2031
79	7789	1947
80	7933	1861
81	8096	1777
82	8191	1677
83	8327	1586
84	8446	1490
85	8550	1391
86	8715	1302
87	8802	1200
88	8915	1101
89	9040	1004
90	9125	902
91	9224	802
92	9367	705
93	9448	603
94	9526	501
95	9588	399
96	9682	299
97	9806	200
98	9906	100
99	9994	0
